Learning Standard,Category,Sub-Category,State Standard,,,
W.9-10.1.c,Writing,Text Types and Purposes,"Use words, phrases, and clauses to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",,,
W.9-10.1.d,Writing,Text Types and Purposes,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,
W.9-10.1.e,Writing,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the argument presented.,,,
W.9-10.10,Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",,,
W.9-10.11,Writing Standards,Responding to Literature,Create literary texts that demonstrate knowledge and understanding of a wide variety of texts of recognized literary merit.,,,
W.9-10.11.a,Writing Standards,Responding to Literature,"Engage in a wide range of prewriting experiences, such as using a variety of visual representations, to express personal, social, and cultural connections and insights.",,,
W.9-10.11.b,Writing Standards,Responding to Literature,"Identify, analyze, and use elements and techniques of various genres of literature.",,,
W.9-10.11.c,Writing Standards,Responding to Literature,"Develop critical and interpretive texts from more than one perspective, including historical and cultural.",,,
W.9-10.11.d,Writing Standards,Responding to Literature,"Create poetry, stories, plays, and other literary forms (e.g. videos, art work).",,,
W.9-10.2,Writing,Text Types and Purposes,"Write informative/explanatory texts to examine and convey complex ideas, concepts, and information clearly and accurately through the effective selection, organization, and analysis of content.",,,
W.9-10.2.a,Writing,Text Types and Purposes,"Introduce a topic; organize complex ideas, concepts, and information to make important connections and distinctions; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.",,,
W.9-10.2.b,Writing,Text Types and Purposes,"Develop the topic with well-chosen, relevant, and sufficient facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.",,,
W.9-10.2.c,Writing,Text Types and Purposes,"Use appropriate and varied transitions to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",,,
W.9-10.2.d,Writing,Text Types and Purposes,Use precise language and domain-specific vocabulary to manage the complexity of the topic.,,,
W.9-10.2.e,Writing,Text Types and Purposes,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,
W.9-10.2.f,Writing,Text Types and Purposes,"Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic).",,,
W.9-10.3,Writing,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",,,
W.9-10.3.a,Writing,Text Types and Purposes,"Engage and orient the reader by setting out a problem, situation, or observation, establishing one or multiple point(s) of view, and introducing a narrator and/or characters; create a smooth progression of experiences or events.",,,
W.9-10.3.b,Writing,Text Types and Purposes,"Use narrative techniques, such as dialogue, pacing, description, reflection, and multiple plot lines, to develop experiences, events, and/or characters.",,,
W.9-10.3.c,Writing,Text Types and Purposes,Use a variety of techniques to sequence events so that they build on one another to create a coherent whole.,,,
W.9-10.3.d,Writing,Text Types and Purposes,"Use precise words and phrases, telling details, and sensory language to convey a vivid picture of the experiences, events, setting, and/or characters.",,,
W.9-10.3.e,Writing,Text Types and Purposes,"Provide a conclusion that follows from and reflects on what is experienced, observed, or resolved over the course of the narrative.",,,
W.9-10.3.f,Writing Standards,Text Types and Purposes,"Adapt voice, awareness of audience, and use of language to accommodate a variety of cultural contexts.",,,
W.9-10.4,Writing,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)",,,
W.9-10.5,Writing,Production and Distribution of Writing,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,
W.9-10.6,Writing,Production and Distribution of Writing,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products, taking advantage of technology’s capacity to link to other information and to display information flexibly and dynamically.",,,
W.9-10.7,Writing,Research to Build and Present Knowledge,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,
W.9-10.7.a,Writing Standards,Research to Build and Present Knowledge,Explore topics dealing with different cultures and world viewpoints.,,,
W.9-10.8,Writing,Research to Build and Present Knowledge,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the usefulness of each source in answering the research question; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and following a standard format for citation.",,,
W.9-10.9,Writing,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,
W.9-10.9.a,Writing,Research to Build and Present Knowledge,"Apply grades 9–10 Reading standards to literature (e.g., “Analyze how an author draws on and transforms source material in a specific work [e.g., how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare]”).",,,
W.9-10.9.b,Writing,Research to Build and Present Knowledge,"Apply grades 9–10 Reading standards to literary nonfiction (e.g., “Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning”).",,,
W.11-12.1,Writing,Text Types and Purposes,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence. Explore and inquire into areas of interest to formulate an argument.",,,
W.11-12.1.a,Writing,Text Types and Purposes,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences claim(s), counterclaims, reasons, and evidence.",,,
W.11-12.1.b,Writing,Text Types and Purposes,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant evidence for each while pointing out the strengths and limitations of both in a manner that anticipates the audience’s knowledge level, concerns, values, and possible biases.",,,
W.11-12.1.c,Writing,Text Types and Purposes,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.",,,
W.11-12.1.d,Writing,Text Types and Purposes,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,
W.11-12.1.e,Writing,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the argument presented.,,,
W.11-12.10,Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes",,,
W.11-12.11,Writing Standards,Responding to Literature,Create interpretive and responsive texts to demonstrate knowledge and a sophisticated understanding of the connections between life and the literary work.,,,
W.11-12.11.a,Writing Standards,Responding to Literature,"Engage in using a wide range of prewriting strategies, such as visual representations and the creation of factual and interpretive questions, to express personal, social and cultural connections and insights.",,,
W.11-12.11.b,Writing Standards,Responding to Literature,"Identify, analyze, and use elements and techniques of various genres of literature, such as allegory, stream of consciousness, irony, and ambiguity, to affect meaning.",,,
W.11-12.11.c,Writing Standards,Responding to Literature,"Develop innovative perspectives on texts, including historical, cultural, sociological, and psychological contexts.",,,
W.11-12.11.d,Writing Standards,Responding to Literature,"Create poetry, stories, plays, and other literary forms (e.g. videos, art work).",,,
W.11-12.2,Writing,Text Types and Purposes,"Write informative/explanatory texts to examine and convey complex ideas, concepts, and information clearly and accurately through the effective selection, organization, and analysis of content.",,,
W.11-12.2.a,Writing,Text Types and Purposes,"Introduce a topic; organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.",,,
W.11-12.2.b,Writing,Text Types and Purposes,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.",,,
W.11-12.2.c,Writing,Text Types and Purposes,"Use appropriate and varied transitions and syntax to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.",,,
W.11-12.2.d,Writing,Text Types and Purposes,"Use precise language, domain-specific vocabulary, and techniques such as metaphor, simile, and analogy to manage the complexity of the topic.",,,
W.11-12.2.e,Writing,Text Types and Purposes,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.,,,
W.11-12.2.f,Writing,Text Types and Purposes,"Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic).",,,
W.11-12.3,Writing,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",,,
W.11-12.3.a,Writing,Text Types and Purposes,"Engage and orient the reader by setting out a problem, situation, or observation and its significance, establishing one or multiple point(s) of view, and introducing a narrator and/or characters; create a smooth progression of experiences or events.",,,
W.11-12.3.b,Writing,Text Types and Purposes,"Use narrative techniques, such as dialogue, pacing, description, reflection, and multiple plot lines, to develop experiences, events, and/or characters.",,,
W.11-12.3.c,Writing,Text Types and Purposes,"Use a variety of techniques to sequence events so that they build on one another to create a coherent whole and build toward a particular tone and outcome (e.g., a sense of mystery, suspense, growth, or resolution).",,,
W.11-12.3.d,Writing,Text Types and Purposes,"Use precise words and phrases, telling details, and sensory language to convey a vivid picture of the experiences, events, setting, and/or characters.",,,
W.11-12.3.e,Writing,Text Types and Purposes,"Provide a conclusion that follows from and reflects on what is experienced, observed, or resolved over the course of the narrative.",,,
W.11-12.3.f,Writing Standards,Text Types and Purposes,"Adapt voice, awareness of audience, and use of language to accommodate a variety of cultural contexts.",,,
W.11-12.4,Writing,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)",,,
W.11-12.5,Writing,Production and Distribution of Writing,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",,,
W.11-12.6,Writing,Production and Distribution of Writing,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",,,
W.11-12.7,Writing,Research to Build and Present Knowledge,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",,,
W.11-12.7.a,Writing Standards,Research to Build and Present Knowledge,Explore topics dealing with different cultures and world viewpoints.,,,
W.11-12.8,Writing,Research to Build and Present Knowledge,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and overreliance on any one source and following a standard format for citation.",,,
W.11-12.9,Writing,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,
W.11-12.9.a,Writing,Research to Build and Present Knowledge,"Apply grades 11–12 Reading standards to literature (e.g., “Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics”).",,,
W.11-12.9.b,Writing,Research to Build and Present Knowledge,"Apply grades 11–12 Reading standards to literary nonfiction (e.g., “Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning [e.g., in U.S. Supreme Court Case majority opinions and dissents] and the premises, purposes, and arguments in works of public advocacy [e.g., The Federalist, presidential addresses]”).",,,
SL.PK.1,Speaking and Listening Standards,Comprehension and Collaboration,"With guidance and support, participate in collaborative conversations with diverse partners about pre- kindergarten topics and texts with peers and adults in small and large groups.",,,
SL.PK.1.a,Speaking and Listening Standards,Comprehension and Collaboration,"Engage in agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion).",,,
SL.PK.1.b,Speaking and Listening Standards,Comprehension and Collaboration,Engage in extended conversations.,,,
SL.PK.1.c,Speaking and Listening Standards,Comprehension and Collaboration,Communicate with individuals from different cultural backgrounds.,"75 for 15 hamburgers, which is a rate of \",5 per hamburger.”1,
SL.PK.2,Speaking and Listening Standards,Comprehension and Collaboration,"With guidance and support, confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.",,,
SL.PK.3,Speaking and Listening Standards,Comprehension and Collaboration,"With guidance and support, ask and answer questions in order to seek help, get information, or clarify something that is not understood.",,,
SL.PK.4,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail.",,,
SL.PK.5,Speaking and Listening Standards,Presentation of Knowledge and Ideas,Add drawings or other visual displays to descriptions as desired to provide additional detail.,,,
SL.PK.6,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Demonstrate an emergent ability to express thoughts, feelings and ideas.",,,
SL.K.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.,,,
SL.K.1.a,Speaking and Listening Standards,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion).",,,
SL.K.1.b,Speaking and Listening Standards,Comprehension and Collaboration,Continue a conversation through multiple exchanges.,,,
SL.K.1.c,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand and communicate with individuals from different cultural backgrounds.,,,
SL.K.2,Speaking & Listening,Continue a conversation through multiple exchanges.,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,,,
SL.K.3,Speaking & Listening,Continue a conversation through multiple exchanges.,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood.",,,
SL.K.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail.",,,
SL.K.5,Speaking & Listening,Presentation of Knowledge and Ideas,Add drawings or other visual displays to descriptions as desired to provide additional detail.,,,
SL.K.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Speak audibly and express thoughts, feelings, and ideas clearly.",,,
SL.1.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.,,,
SL.1.1.a,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).",,,
SL.1.1.b,Speaking & Listening,Comprehension and Collaboration,Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.,,,
SL.1.1.c,Speaking & Listening,Comprehension and Collaboration,Ask questions to clear up any confusion about the topics and texts under discussion.,,,
SL.1.1.d,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand and communicate with individuals from different cultural backgrounds.,,,
SL.1.2,Speaking & Listening,Comprehension and Collaboration,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.,,,
SL.1.3,Speaking & Listening,Comprehension and Collaboration,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,,,
SL.1.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",,,
SL.1.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings.",,,
SL.1.6,Speaking & Listening,Presentation of Knowledge and Ideas,Produce complete sentences when appropriate to task and situation.,,,
SL.2.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about grade 2 topics and texts with peers and adults in small and larger groups.,,,
SL.2.1.a,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).",,,
SL.2.1.b,Speaking & Listening,Comprehension and Collaboration,Build on others’ talk in conversations by linking their comments to the remarks of others.,,,
SL.2.1.c,Speaking & Listening,Comprehension and Collaboration,Ask for clarification and further explanation as needed about the topics and texts under discussion.,,,
SL.2.1.d,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand and communicate with individuals from different cultural backgrounds.,,,
SL.2.2,Speaking & Listening,Comprehension and Collaboration,Recount or describe key ideas or details from a text read aloud or information presented orally or through other media.,,,
SL.2.3,Speaking & Listening,Comprehension and Collaboration,"Ask and answer questions about what a speaker says in order to clarify comprehension, gather additional information, or deepen understanding of a topic or issue.",,,
SL.2.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Tell a story or recount an experience with appropriate facts and relevant, descriptive details, speaking audibly in coherent sentences.",,,
SL.2.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Create audio recordings of stories or poems; add drawings or other visual displays to stories or recounts of experiences when appropriate to clarify ideas, thoughts, and feelings.",,,
SL.2.6,Speaking & Listening,Presentation of Knowledge and Ideas,Produce complete sentences when appropriate to task and situation in order to provide requested detail or clarification.,,,
SL.3.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others’ ideas and expressing their own clearly.",,,
SL.3.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,
SL.3.1.b,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion).",,,
SL.3.1.c,Speaking & Listening,Comprehension and Collaboration,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others.",,,
SL.3.1.d,Speaking & Listening,Comprehension and Collaboration,Explain their own ideas and understanding in light of the discussion.,,,
SL.3.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand and communicate with individuals from different cultural backgrounds.,,,
SL.3.2,Speaking & Listening,Comprehension and Collaboration,"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,
SL.3.3,Speaking & Listening,Comprehension and Collaboration,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.",,,
SL.3.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace.",,,
SL.3.5,Speaking & Listening,Presentation of Knowledge and Ideas,Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details.,,,
SL.3.6,Speaking & Listening,Presentation of Knowledge and Ideas,Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification.,,,
SL.4.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 4 topics and texts, building on others’ ideas and expressing their own clearly.",,,
SL.4.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,
SL.4.1.b,Speaking & Listening,Comprehension and Collaboration,Follow agreed-upon rules for discussions and carry out assigned roles.,,,
SL.4.1.c,Speaking & Listening,Comprehension and Collaboration,"Pose and respond to specific questions to clarify or follow up on information, and make comments that contribute to the discussion and link to the remarks of others.",,,
SL.4.1.d,Speaking & Listening,Comprehension and Collaboration,Review the key ideas expressed and explain their own ideas and understanding in light of the discussion.,,,
SL.4.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand and communicate with individuals from different perspectives and cultural backgrounds.,,,
SL.4.2,Speaking & Listening,Comprehension and Collaboration,"Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,
SL.4.3,Speaking & Listening,Comprehension and Collaboration,Identify the reasons and evidence a speaker provides to support particular points.,,,
SL.4.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text, tell a story, or recount an experience in an organized manner, using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",,,
SL.4.5,Speaking & Listening,Presentation of Knowledge and Ideas,Add audio recordings and visual displays to presentations when appropriate to enhance the development of main ideas or themes.,,,
SL.4.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion); use formal English when appropriate to task and situation.",,,
SL.5.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others’ ideas and expressing their own clearly.",,,
SL.5.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,
SL.5.1.b,Speaking & Listening,Comprehension and Collaboration,Follow agreed-upon rules for discussions and carry out assigned roles.,,,
SL.5.1.c,Speaking & Listening,Comprehension and Collaboration,Pose and respond to specific questions by making comments that contribute to the discussion and elaborate on the remarks of others.,,,
SL.5.1.d,Speaking & Listening,Comprehension and Collaboration,Review the key ideas expressed and draw conclusions in light of information and knowledge gained from the discussions.,,,
SL.5.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand and communicate with individuals from different perspectives and cultural backgrounds.,,,
SL.5.1.f,Speaking and Listening Standards,Comprehension and Collaboration,"Use their experience and their knowledge of language and logic, as well as culture, to think analytically, address problems creatively, and advocate persuasively.",,,
SL.5.2,Speaking & Listening,Comprehension and Collaboration,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,
SL.5.3,Speaking & Listening,Comprehension and Collaboration,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,,,
SL.5.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace.",,,
SL.5.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes.",,,
SL.5.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation.",,,
SL.6.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 6 topics, texts, and issues, building on others’ ideas and expressing their own clearly.",,,
SL.6.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion.",,,
SL.6.1.b,Speaking & Listening,Comprehension and Collaboration,"Follow rules for collegial discussions, set specific goals and deadlines, and define individual roles as needed.",,,
SL.6.1.c,Speaking & Listening,Comprehension and Collaboration,"Pose and respond to specific questions with elaboration and detail by making comments that contribute to the topic, text, or issue under discussion.",,,
SL.6.1.d,Speaking & Listening,Comprehension and Collaboration,Review the key ideas expressed and demonstrate understanding of multiple perspectives through reflection and paraphrasing.,,,
SL.6.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand and communicate with individuals from different perspectives and cultural backgrounds.,,,
SL.6.2,Speaking & Listening,Comprehension and Collaboration,"Interpret information presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how it contributes to a topic, text, or issue under study.",,,
SL.6.2.a,Speaking and Listening Standards,Comprehension and Collaboration,"Use their experience and their knowledge of language and logic, as well as culture, to think analytically, address problems creatively, and advocate persuasively.",,,
SL.6.3,Speaking & Listening,Comprehension and Collaboration,"Delineate a speaker’s argument and specific claims, distinguishing claims that are supported by reasons and evidence from claims that are not.",,,
SL.6.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Present claims and findings, sequencing ideas logically and using pertinent descriptions, facts, and details to accentuate main ideas or themes; use appropriate eye contact, adequate volume, and clear pronunciation.",,,
SL.6.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Include multimedia components (e.g., graphics, images, music, sound) and visual displays in presentations to clarify information.",,,
SL.6.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",,,
SL.7.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 7 topics, texts, and issues, building on others’ ideas and expressing their own clearly.",,,
SL.7.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion.",,,
SL.7.1.b,Speaking & Listening,Comprehension and Collaboration,"Follow rules for collegial discussions, track progress toward specific goals and deadlines, and define individual roles as needed.",,,
SL.7.1.c,Speaking & Listening,Comprehension and Collaboration,Pose questions that elicit elaboration and respond to others’ questions and comments with relevant observations and ideas that bring the discussion back on topic as needed.,,,
SL.7.1.d,Speaking & Listening,Comprehension and Collaboration,"Acknowledge new information expressed by others and, when warranted, modify their own views.",,,
SL.7.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand other perspectives and cultures and communicate effectively with audiences or individuals from varied backgrounds.,,,
SL.7.2,Speaking & Listening,Comprehension and Collaboration,"Analyze the main ideas and supporting details presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how the ideas clarify a topic, text, or issue under study.",,,
SL.7.2.a,Speaking and Listening Standards,Comprehension and Collaboration,"Use their experience and their knowledge of language and logic, as well as culture, to think analytically, address problems creatively, and advocate persuasively.",,,
SL.7.3,Speaking & Listening,Comprehension and Collaboration,"Delineate a speaker’s argument and specific claims, evaluating the soundness of the reasoning and the relevance and sufficiency of the evidence.",,,
SL.7.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Present claims and findings, emphasizing salient points in a focused, coherent manner with pertinent descriptions, facts, details, and examples; use appropriate eye contact, adequate volume, and clear pronunciation.",,,
SL.7.5,Speaking & Listening,Presentation of Knowledge and Ideas,Include multimedia components and visual displays in presentations to clarify claims and findings and emphasize salient points.,,,
SL.7.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate.",,,
SL.8.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 8 topics, texts, and issues, building on others’ ideas and expressing their own clearly.",,,
SL.8.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion.",,,
SL.8.1.b,Speaking & Listening,Comprehension and Collaboration,"Follow rules for collegial discussions and decision-making, track progress toward specific goals and deadlines, and define individual roles as needed.",,,
SL.8.1.c,Speaking & Listening,Comprehension and Collaboration,"Pose questions that connect the ideas of several speakers and respond to others’ questions and comments with relevant evidence, observations, and ideas.",,,
SL.8.1.d,Speaking & Listening,Comprehension and Collaboration,"Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented.",,,
SL.8.1.e,Speaking and Listening Standards,Comprehension and Collaboration,Seek to understand other perspectives and cultures and communicate effectively with audiences or individuals from varied backgrounds.,,,
SL.8.2,Speaking & Listening,Comprehension and Collaboration,"Analyze the purpose of information presented in diverse media and formats (e.g., visually, quantitatively, orally) and evaluate the motives (e.g., social, commercial, political) behind its presentation.",,,
SL.8.2.a,Speaking and Listening Standards,Comprehension and Collaboration,"Use their experience and their knowledge of language and logic, as well as culture, to think analytically, address problems creatively, and advocate persuasively.",,,
SL.8.3,Speaking & Listening,Comprehension and Collaboration,"Delineate a speaker’s argument and specific claims, evaluating the soundness of the reasoning and relevance and sufficiency of the evidence and identifying when irrelevant evidence is introduced.",,,
SL.8.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Present claims and findings, emphasizing salient points in a focused, coherent manner with relevant evidence, sound valid reasoning, and well-chosen details; use appropriate eye contact, adequate volume, and clear pronunciation.",,,
SL.8.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Integrate multimedia and visual displays into presentations to clarify information, strengthen claims and evidence, and add interest.",,,
